sorgu|1st|2nd|3rd|4th|5th
 Atatürk'ün doğum tarihi ve soyadı değişikliğiyle ilgili bilgileri özetleyin.|Genetik|Beyşehir Gölü|Württemberg Krallığı|Mustafa Kemal Atatürk|
Barış Manço hangi albümünde müzik hayatının 40 yılını anlatan 40. yıl şarkısını besteledi ancak sözlerini yazamadı?|Müjde (şarkı)|Aşkhane|Barış Manço|Başımda Bela Var / Yarınsızım Ben|
Zazaca dilinin dilbilimi tarihinde hangi önemli çalışmalar yapılmıştır?|Dil|Dil|Helenleştirme|Dil|
Karl Marx'ın dev çalışması Kapital'in ilk cildi hangi yıl yayımlandı?|Carlos Chagas|Carlos Chagas|Uğur Mumcu|Medcezir (dizi)|
Barış Manço, Eurovision Şarkı Yarışması'nın Türkiye elemelerine Kazma şarkısıyla hangi yıl katılmıştır?|Olimpiyat Stadyumu (Moskova)|Nije ljubav stvar|Barış Manço|2019 Eurovision Şarkı Yarışması'nda Finlandiya|
Antik Mısır, Arapların egemenliği altına girmiş midir?|Hayatta kalma yanılgısı|Fenerbahçe (erkek voleybol takımı) 1990-91 sezonu|İHeartRadio Müzik Ödülleri|Tafoni|
Mustafa Kemal'in Ankara'da Türkiye Büyük Millet Meclisi'ni açması ve milliyetçi hareketin gelişimi nasıl oldu?|Recep Tayyip Erdoğan|Mustafa Kemal Atatürk|Ebru (anlam ayrımı)|Mustafa Kemal Atatürk|
Üçüncü ve dördüncü kısımların inşaatı hangi tarihlerde tamamlandı?|1924 Los Angeles veba salgını|10 Haziran|İHeartRadio Müzik Ödülleri|Pforzheim|
Metinde hangi yöntemlerle kişisel bilgilerin gizliliğinin ihlal edildiği ve spam içeriklerinin zararları nelerdir?|Harry Potter kurgusal evreni|Zeytindalı, Akçakale|Antik Mısır|Wiesenthau|
Basketbolun Avrupa'daki ilk denemesi, 1893 yılında mı yapılmıştır?|Antalya Toroslar BK|Şebnem Kimyacıoğlu|Semih Kaya|Büşra Akgün|
Metinde, sosyoloji veya toplumbilimi disiplini hakkında genel bilgiler verilmektedir.|Arap-İsrail savaşları|Ferit İlsever|Hukuk|Monosodyum glutamat|
Aliağa ilçesinin nüfusu kaç kişidir ve kadınların nüfusa oranı nedir?|Çin mitolojisi|Kütüklü, Harran|Hukuk|Zeytindalı, Akçakale|
Metinde spam olarak tanımlanan nedir ve spam'ın tarihçesi nasıldır?|Antik Mısır|Çin mitolojisi|Antik Mısır|Çin mitolojisi|
Metinde, Türkiye'nin Mustafa Kemal Atatürk'e olan saygısı ve onun hatırasını yaşatma çabaları ile Atatürk'ün dünya çapında popülerliği ve etkisi hakkında bilgiler verilmiştir.|Mustafa Kemal Atatürk|Anıtkabir|Anıtkabir|Mustafa Kemal Atatürk|
II. Genel Kurul'un açılışında hangi şiir yayınlanmıştır?|İHeartRadio Müzik Ödülleri|1978 Madrid saldırısı|Arap-İsrail savaşları|Pforzheim|
Yıldız Savaşları filmlerinde kullanılan görüntü oranı nedir?|İHeartRadio Müzik Ödülleri|G/Ç metotları|Kobe Bryant|Recep Tayyip Erdoğan|
Gürgenç kuşatması kaç ay sürdü?|10 Haziran|Anadolu Selçuklu Devleti|Birinci Kirte Muharebesi|2003 Kuşadası Altın Güvercin Müzik Yarışması|
23 Nisan Kulesi'nin iç duvarındaki kabartmada, kağıdın üzerinde hangi tarih yazmaktadır?|Monosodyum glutamat|Kabarlar|Cengiz Han|Küçükada, Muğla|
Zazaca dili ve Zaza halkıyla ilgili temel bilgiler nelerdir?|Zazaca|Cengiz Han|Zanlı|Zazaca|
Büyük Hun İmparatorluğu'nun kuruluşu ne zaman gerçekleşti?|Cengiz Han|Sırbistan, Arnavutluk ve Karadağ'ın Kurtuluşu (1918)|MÖ 220|Çaka Bey|
Türkiye çerçevesinden bakıldığında, en duru konuşma dili İstanbul Türkçesi olarak mi kabul edilir?|Türkiye Cumhuriyeti Avrupa Birliği Başkanlığı|Konya Havalimanı|Kuzey Suriye'de Türkiye|Salih Hacıoğlu|
İnönü'nün sembolik lahdinin bulunduğu bölgedeki mezar odasında İnönü'nün hangi tarihte yazdığı bir söz yer almaktadır?|Obernbreit|Danla Bilic|Wiesenthau|Kurmangazi Sağırbayoğlu|
Konak Meydanı'nda 10 Kasım 2006'da açılan sergide, Anıtkabir kompleksi hangi tarihe kadar ziyaret edilebilmiştir?|Frodo Baggins|Lysá nad Labem|Zanlı|Antik Mısır|
Şuana kadar toplamda kaç programlama dili geliştirilmiştir?|Çin Komünist Partisi Ulusal Kongresi|Ehl-i Hak|1924 Los Angeles veba salgını|Saldırmazlık ilkesi|
Proje yarışmasına kaç farklı ülkeden toplam kaç proje gönderildi?|Bilgelik|İCloud|Anıtkabir|Esperanto|
Tarımda kullanılan enerjinin büyük bir bölümü fosil yakıtlardan mı sağlanmaktadır?|Tequila, Jalisco|Çin mitolojisi|Ardanuç|Küçük Asya'nın Abbasi işgali (806)|
Bu metinde hangi Mısır tanrılarından bahsedilmektedir?|Triumvirlik|Wiesenthau|Alibeyli, Sumbas|Obernbreit|
Türkiye'nin illerinin idari tarihi ve demografik özellikleri nelerdir?|1871|Nafiye Güneç Kıyak|XIX. Asır Türk Edebiyatı Tarihi|Bilecik'te 2019 Türkiye yerel seçimleri|
Yoda, öldüğünde Luke Skywalker'un yanındaydı mı?|Medcezir (dizi)|Insatiable (TV dizisi)|Türkiye|Kayseri'de 1977 Türkiye yerel seçimleri|
Aliağa ilçesindeki tarım topraklarının yüzdesi nedir?|Kimmerler|Küçük Asya'nın Abbasi işgali (806)|Anıtkabir|Tarım|
İsmet İnönü hangi göreve atanarak askerlikten emekli oldu?|Valerianus|Genetik|Trick'r Treat|Merkez, Eyüpsultan|
Metinde, Mustafa Kemal Atatürk'ün dinî inancı ve bu konudaki farklı görüşler ile Atatürk'ün hatırasının yaşatılması ve Türkiye'deki Atatürk kültürü hakkında bilgiler verilmiştir.|Anıtkabir|Mustafa Kemal Atatürk|Mustafa Kemal Atatürk|Mustafa Kemal Atatürk|
Esperanto, II. Dünya Savaşı sırasında Hitler tarafından kullanımı teşvik edilmiş midir?|Esperanto|Anıtkabir|Vidkun Quisling|Barış Manço|
Özgür yazılımın yayılmasına öncülük eden isimler kimlerdir?|Moshe Safdie|Anıtkabir|Oksijen izotopu|Hayatta kalma yanılgısı|
Osmanlı döneminde Türk dilinde Fizik yerine Hikmet-i Tabiyye kelimesi kullanılıyor muydu?|Ebru (anlam ayrımı)|Salih Hacıoğlu|Türkiye Cumhuriyeti Avrupa Birliği Başkanlığı|Girne Kalesi|
Uluslararası Olimpiyat Komitesi'nin Pekin'e 2008 Yaz Olimpiyatlarına ev sahipliği yapma hakkını verdiği tarih kaçtır?|Kuşça, Cihanbeyli|Monosodyum glutamat|Eşit Bakım Emeği Günü|Hayatta kalma yanılgısı|
Pisagor, hangi geometrik üçgenleri bulmuştur?|Talin|Capriati a Volturno|Tombolo, İtalya|Pizzoferrato|
Metinde e-posta adreslerinin satışı ve içerikleriyle ilgili hangi bilgiler verilmektedir?|Harry Potter kurgusal evreni|Bazilika|Bolşevizm|Sümer ve Akad kralı|
